name,link
Shared Interest,https://impactassets.org/ia50/fund.php?id=a01RQ000007pqJAYAY
SJF Ventures,https://impactassets.org/ia50/fund.php?id=a01RQ000007bHlpYAE
SLM Partners,https://impactassets.org/ia50/fund.php?id=a01RQ000007RnwmYAC
"Social Investment Managers and
Advisors, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007S099YAC
"Social Venture Exchange
México SAPI de CV",https://impactassets.org/ia50/fund.php?id=a01RQ000007poICYAY
Spring Impact Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007prUaYAI
Springbank,https://impactassets.org/ia50/fund.php?id=a01RQ000007pz2GYAQ
Stichting Medical Credit Fund,https://impactassets.org/ia50/fund.php?id=a01RQ000007bDYZYA2
"Sunwealth Power, Inc.",https://impactassets.org/ia50/fund.php?id=a01RQ000007RpLxYAK
"Superorganism Ventures, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007po6uYAA
"Thin Line Capital, LLC",https://impactassets.org/ia50/fund.php?id=a01RQ000007puSPYAY
Trailhead Capital,https://impactassets.org/ia50/fund.php?id=a01RQ000007pz76YAA
True Wealth Ventures,https://impactassets.org/ia50/fund.php?id=a01RQ000007SAI9YAO
UC Investment Management LLP,https://impactassets.org/ia50/fund.php?id=a01RQ000007q5CbYAI
"UNICEF USA Impact Fund
for Children",https://impactassets.org/ia50/fund.php?id=a01RQ000007bImjYAE
VoLo Earth Ventures,https://impactassets.org/ia50/fund.php?id=a01RQ000007q85XYAQ
"Vox Capital Gestão de
Recursos LTda",https://impactassets.org/ia50/fund.php?id=a01RQ000007bBznYAE
"WaterEquity, Inc.",https://impactassets.org/ia50/fund.php?id=a01RQ000007bLStYAM
Winnipeg Ventures LLC,https://impactassets.org/ia50/fund.php?id=a01RQ000007py1MYAQ
"Working Capital for
Community Needs, Inc.",https://impactassets.org/ia50/fund.php?id=a01RQ000007pyMOYAY
Working Capital Management LLC,https://impactassets.org/ia50/fund.php?id=a01RQ000007S1ObYAK
Zeal Capital Partners,https://impactassets.org/ia50/fund.php?id=a01RQ000007S91AYAS
